loss_total,loss_ave,frequency,weight,age,car_type,car_year
298,298,8,1,1,1,1
372,372,10,1,1,2,1
189,189,9,1,1,3,1
763,763,3,1,1,4,1
302,302,18,1,2,1,1
420,420,59,1,2,2,1
268,268,44,1,2,3,1
407,407,24,1,2,4,1
268,268,56,1,3,1,1
275,275,125,1,3,2,1
334,334,163,1,3,3,1
383,383,72,1,3,4,1
236,236,43,1,4,1,1
259,259,179,1,4,2,1
340,340,197,1,4,3,1
400,400,104,1,4,4,1
207,207,43,1,5,1,1
208,208,191,1,5,2,1
251,251,210,1,5,3,1
233,233,119,1,5,4,1
254,254,90,1,6,1,1
218,218,280,1,6,2,1
239,239,401,1,6,3,1
387,387,199,1,6,4,1
251,251,69,1,7,1,1
196,196,366,1,7,2,1
268,268,310,1,7,3,1
391,391,105,1,7,4,1
264,264,64,1,8,1,1
224,224,228,1,8,2,1
269,269,183,1,8,3,1
385,385,62,1,8,4,1
282,282,8,1,1,1,2
294,294,28,1,1,2,2
288,288,13,1,1,3,2
850,850,2,1,1,4,2
194,194,31,1,2,1,2
243,243,96,1,2,2,2
343,343,39,1,2,3,2
320,320,18,1,2,4,2
285,285,55,1,3,1,2
243,243,172,1,3,2,2
274,274,129,1,3,3,2
305,305,50,1,3,4,2
270,270,53,1,4,1,2
226,226,211,1,4,2,2
260,260,125,1,4,3,2
349,349,55,1,4,4,2
129,129,73,1,5,1,2
214,214,219,1,5,2,2
323,323,204,1,5,3,2
325,325,43,1,5,4,2
213,213,98,1,6,1,2
209,209,434,1,6,2,2
250,250,253,1,6,3,2
299,299,88,1,6,4,2
227,227,120,1,7,1,2
229,229,353,1,7,2,2
250,250,148,1,7,3,2
228,228,46,1,7,4,2
198,198,100,1,8,1,2
193,193,233,1,8,2,2
258,258,103,1,8,3,2
324,324,22,1,8,4,2
133,133,4,1,1,1,3
288,288,1,1,1,2,3
179,179,1,1,1,3,3
0,0,0,1,1,4,3
135,135,10,1,2,1,3
196,196,13,1,2,2,3
293,293,7,1,2,3,3
205,205,2,1,2,4,3
181,181,17,1,3,1,3
179,179,36,1,3,2,3
208,208,18,1,3,3,3
116,116,6,1,3,4,3
160,160,15,1,4,1,3
161,161,39,1,4,2,3
189,189,30,1,4,3,3
147,147,8,1,4,4,3
157,157,21,1,5,1,3
149,149,46,1,5,2,3
32,32,141,1,5,3,3
207,207,4,1,5,4,3
149,149,35,1,6,1,3
172,172,97,1,6,2,3
174,174,50,1,6,3,3
325,325,8,1,6,4,3
172,172,42,1,7,1,3
164,164,95,1,7,2,3
175,175,33,1,7,3,3
346,346,10,1,7,4,3
167,167,43,1,8,1,3
178,178,73,1,8,2,3
227,227,20,1,8,3,3
192,192,6,1,8,4,3
160,160,1,1,1,1,4
11,11,1,1,1,2,4
0,0,0,1,1,3,4
0,0,0,1,1,4,4
166,166,4,1,2,1,4
135,135,3,1,2,2,4
104,104,2,1,2,3,4
0,0,0,1,2,4,4
110,110,12,1,3,1,4
264,264,10,1,3,2,4
150,150,8,1,3,3,4
636,636,1,1,3,4,4
110,110,12,1,4,1,4
107,107,19,1,4,2,4
104,104,9,1,4,3,4
65,65,2,1,4,4,4
113,113,14,1,5,1,4
137,137,23,1,5,2,4
8,8,1,1,5,3,4
0,0,0,1,5,4,4
98,98,22,1,6,1,4
110,110,59,1,6,2,4
129,129,15,1,6,3,4
137,137,9,1,6,4,4
98,98,35,1,7,1,4
132,132,45,1,7,2,4
152,152,13,1,7,3,4
167,167,1,1,7,4,4
114,114,53,1,8,1,4
101,101,44,1,8,2,4
119,119,6,1,8,3,4
123,123,6,1,8,4,4
